PAYS;AGR;IND;SER;WOMEN;UNP_rate;yUNP_rate
Albania;71.8;6.6;0.0;41.2;16.8;32.0
Belarus;14.8;34.7;0.0;48.6;2.1;5.0
Bulgaria;24.4;27.6;48.1;46.5;16.4;33.7
Croatia;14.5;28.9;56.8;46.0;16.1;35.4
Cyprus;6.0;20.7;73.3;42.6;4.9;10.1
Czech Republic;4.8;39.1;56.0;44.8;8.7;17.8
Estonia;7.1;33.2;59.7;48.7;13.6;24.4
Greece;17.0;19.8;63.3;39.7;11.1;29.1
Hungary;12.4;31.9;55.7;44.7;6.4;12.4
Latvia;14.3;25.0;60.7;48.0;13.7;21.4
Lithuania;18.7;26.7;54.7;49.5;16.4;30.6
Macedonia;31.0;43.6;49.6;39.8;32.2;59.9
Moldovia;50.9;13.9;35.2;50.0;8.5;15.8
Poland;29.8;28.6;50.1;46.2;16.1;35.1
Romania;46.3;24.5;29.2;46.0;7.3;20.0
Russia;14.5;28.4;57.1;47.7;10.6;20.7
Serbia;24.0;26.9;48.8;44.5;12.1;48.1
Slovakia;5.7;34.8;59.4;45.7;18.8;36.9
Slovenia;11.8;37.6;50.6;46.2;6.7;16.3
Turkey;36.0;24.0;40.0;25.9;5.2;13.1
Ukraine;20.4;31.1;47.8;48.9;11.6;24.2
Germany;2.4;28.9;68.7;43.9;7.5;7.5
Switzerland;4.5;25.6;69.7;44.2;2.6;5.0
Norway;4.1;21.0;74.9;46.7;3.2;9.8
